年份,月份,區域別總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
92,3,11765,1453,1273,796,1122,1036,1361,267,251,391,796,349,524,395,617,215,277,63,254,171,127,25,2
92,4,11242,1420,1150,793,1006,1009,1361,293,232,351,684,374,479,383,610,165,278,58,233,194,126,37,6
92,5,11251,1384,1267,743,1101,967,1326,281,273,331,694,347,515,356,597,192,293,67,213,140,130,30,4
92,6,10493,1288,1214,670,937,946,1286,247,226,300,626,300,496,348,617,187,232,73,192,154,134,18,2
92,7,11269,1428,1212,737,1038,1045,1394,268,221,327,715,348,504,360,613,212,267,54,201,146,145,33,1
92,8,9373,1190,986,587,853,900,1174,226,172,278,604,292,427,331,466,169,218,48,181,139,105,24,3
92,9,10507,1304,1073,659,1009,1005,1297,247,219,318,649,305,482,352,596,192,230,70,198,148,118,32,4
92,10,10703,1347,1056,726,1006,959,1309,261,211,299,683,364,486,399,600,199,255,51,193,144,122,27,6
92,11,9680,1201,991,631,955,875,1200,219,218,270,632,299,421,329,551,145,233,57,160,158,111,23,1
92,12,11885,1406,1221,829,1070,1137,1453,258,228,352,740,359,570,423,651,211,294,84,227,201,134,29,8
93,1,11168,1287,1162,728,1016,1043,1426,277,205,367,712,361,540,401,609,200,254,73,221,134,116,32,4
93,2,12849,1608,1306,900,1179,1163,1549,297,288,390,771,393,612,454,639,209,301,104,254,210,173,45,4
93,3,12742,1516,1340,820,1200,1153,1501,316,275,372,839,385,610,454,674,239,287,88,244,202,178,45,4
93,4,11297,1402,1186,776,1078,1018,1282,254,239,333,734,350,531,392,618,208,238,63,214,202,140,35,4
93,5,10369,1219,1102,677,961,886,1299,258,247,328,616,316,493,371,589,169,251,68,194,169,127,26,3
93,6,10504,1288,1083,722,1004,949,1252,260,240,345,621,315,460,381,565,180,223,67,211,158,156,16,8
93,7,10695,1370,1149,699,1020,982,1197,263,216,351,614,329,474,386,605,181,255,68,215,151,133,34,3
93,8,10853,1244,1032,698,1020,1071,1408,265,230,342,706,330,466,363,586,211,284,72,206,153,122,42,2
93,9,10734,1319,1139,702,969,1024,1363,231,233,338,638,311,545,377,579,206,223,53,185,146,126,23,4
93,10,10874,1293,1154,744,1002,958,1321,246,252,334,676,343,502,400,629,187,240,61,211,188,102,27,4
93,11,11502,1453,1171,791,1060,1025,1439,236,265,344,694,335,565,424,645,188,279,70,186,165,142,21,4
93,12,11505,1387,1192,824,1087,991,1450,258,231,329,733,343,555,412,616,204,278,56,216,172,139,26,6
94,1,12138,1507,1203,813,1132,1134,1440,296,269,368,773,366,581,431,685,194,285,67,246,198,114,34,2
94,2,10258,1280,1035,743,956,903,1245,230,230,344,620,302,456,347,586,183,275,58,191,134,107,29,4
94,3,14592,1776,1529,1070,1387,1398,1705,309,327,452,913,453,638,508,768,252,297,71,291,221,164,58,5
94,4,11442,1387,1147,849,1056,1045,1382,244,259,336,775,334,488,395,623,195,279,54,233,184,132,39,6
94,5,11833,1400,1248,772,1127,1114,1428,305,267,372,742,355,539,389,627,189,273,66,241,201,138,32,8
94,6,11063,1398,1182,767,977,1022,1335,270,236,366,691,316,460,385,580,189,250,59,216,182,138,39,5
94,7,11097,1312,1158,745,1024,1054,1413,221,240,338,702,316,518,400,610,197,254,54,204,161,134,40,2
94,8,11840,1422,1232,775,1043,1132,1513,281,271,366,725,350,563,397,649,195,287,70,214,179,137,35,4
94,9,11231,1332,1181,703,1052,1009,1430,277,246,315,731,329,529,369,587,218,284,63,229,178,126,38,5
94,10,10684,1307,1085,706,1053,991,1312,256,244,304,627,305,531,363,615,186,242,52,182,163,127,31,2
94,11,11167,1404,1263,686,1040,1038,1317,261,258,336,652,321,519,415,624,203,241,64,188,172,138,22,5
94,12,12053,1453,1253,794,1153,1113,1454,271,257,360,792,363,558,466,613,228,283,74,205,182,152,23,6
95,1,11021,1319,1133,753,1030,1005,1354,291,252,348,687,336,545,378,574,205,237,65,194,175,114,25,1
95,2,12214,1472,1241,825,1212,1174,1488,283,226,381,759,346,581,443,627,186,275,69,236,184,153,47,6
95,3,12832,1597,1367,834,1192,1182,1556,318,282,400,819,367,581,425,690,189,311,88,220,218,141,45,10
95,4,10658,1296,1089,749,1072,1011,1286,246,228,333,648,361,493,363,565,163,220,69,197,127,108,30,4
95,5,11314,1415,1179,773,1050,1011,1423,262,255,332,730,349,557,395,557,178,236,59,196,204,115,35,3
95,6,11376,1413,1220,732,1094,997,1363,254,251,341,752,354,494,369,622,216,277,77,205,175,135,32,3
95,7,11320,1318,1141,742,1114,1060,1443,237,251,346,773,334,513,367,605,214,256,64,207,160,133,41,1
95,8,11354,1377,1139,820,1033,1094,1398,258,263,326,671,350,527,403,612,189,259,71,236,156,134,36,2
95,9,10357,1222,1018,740,918,989,1343,267,233,336,638,314,478,336,562,176,241,43,166,171,123,39,4
95,10,11316,1370,1204,765,1057,1033,1388,255,233,354,748,306,543,378,596,200,273,68,204,167,129,42,3
95,11,11192,1354,1165,745,1095,1004,1405,266,241,354,715,363,524,353,601,162,252,50,212,153,135,38,5
95,12,10885,1331,1115,737,1047,1012,1392,280,220,328,638,310,492,398,572,189,228,59,216,157,129,32,3
96,1,13374,1629,1376,900,1257,1253,1621,312,286,421,883,402,618,437,676,253,308,84,258,203,156,38,3
96,2,10218,1190,1058,674,991,966,1278,252,190,336,576,328,496,359,551,197,212,58,204,163,105,33,1
96,3,13890,1692,1457,998,1378,1243,1701,338,305,437,848,418,632,452,740,205,288,73,270,205,155,50,5
96,4,11679,1475,1311,829,1062,1014,1435,251,236,380,713,383,548,403,574,156,260,81,196,203,127,34,8
96,5,12083,1538,1238,823,1123,1088,1432,253,271,391,768,370,533,410,663,208,278,64,246,191,156,36,3
96,6,10583,1355,1189,692,1053,980,1248,238,227,302,661,322,451,357,485,165,238,52,222,172,127,45,2
96,7,11870,1497,1261,794,1111,1051,1425,249,231,359,750,344,561,415,635,230,281,67,232,188,151,35,3
96,8,11493,1463,1210,780,1142,1071,1408,254,221,325,687,359,509,353,608,203,254,66,207,197,140,32,4
